Tournament,surface,Date,HomeTeam,AwayTeam,score,round,Surface,FTR
Australian Open,Hard,20240115,Holger Rune,Yoshihito Nishioka,6-2 4-6 7-6(3) 6-4,R128,Hard,H
Australian Open,Hard,20240115,Arthur Cazaux,Laslo Djere,6-2 6-7(3) 6-2 3-6 6-2,R128,Hard,H
Australian Open,Hard,20240115,Arthur Fils,Jiri Vesely,4-6 7-5 6-2 6-3,R128,Hard,H
Australian Open,Hard,20240115,Tallon Griekspoor,Roman Safiullin,2-6 3-6 7-6(3) 6-4 7-5,R128,Hard,H
Australian Open,Hard,20240115,Ugo Humbert,David Goffin,6-2 7-5 5-7 6-3,R128,Hard,H
Australian Open,Hard,20240115,Zhizhen Zhang,Federico Coria,6-4 7-6(3) 7-6(5),R128,Hard,H
Australian Open,Hard,20240115,Jakub Mensik,Denis Shapovalov,6-3 7-5 7-5,R128,Hard,H
Australian Open,Hard,20240115,Hubert Hurkacz,Omar Jasika,7-6(4) 6-4 6-2,R128,Hard,H
Australian Open,Hard,20240115,Grigor Dimitrov,Marton Fucsovics,4-6 6-3 7-6(1) 6-2,R128,Hard,H
Australian Open,Hard,20240115,Thanasi Kokkinakis,Sebastian Ofner,7-6(1) 2-6 6-7(4) 6-1 7-6(8),R128,Hard,H
Australian Open,Hard,20240115,Nuno Borges,Maximilian Marterer,7-5 7-6(3) 6-2,R128,Hard,H
Australian Open,Hard,20240115,Alejandro Davidovich Fokina,Constant Lestienne,6-4 6-4 7-6(5),R128,Hard,H
Australian Open,Hard,20240115,Felix Auger Aliassime,Dominic Thiem,6-3 7-5 6-7(5) 5-7 6-3,R128,Hard,H
Australian Open,Hard,20240115,Hugo Grenier,Alexandre Muller,2-6 7-6(3) 4-6 6-4 7-6(7),R128,Hard,H
Australian Open,Hard,20240115,Emil Ruusuvuori,Patrick Kypson,4-6 6-3 6-4 7-6(4),R128,Hard,H
Australian Open,Hard,20240115,Daniil Medvedev,Terence Atmane,5-7 6-2 6-4 1-0 RET,R128,Hard,H
Australian Open,Hard,20240115,Alexander Zverev,Dominik Koepfer,4-6 6-3 7-6(3) 6-3,R128,Hard,H
Australian Open,Hard,20240115,Lukas Klein,Soon Woo Kwon,7-6(0) 4-6 7-6(3) 6-3,R128,Hard,H
Australian Open,Hard,20240115,Alex Michelsen,James Mccabe,7-6(5) 3-6 6-1 6-2,R128,Hard,H
Australian Open,Hard,20240115,Jiri Lehecka,Bernabe Zapata Miralles,6-3 6-2 6-3,R128,Hard,H
Australian Open,Hard,20240115,Cameron Norrie,Juan Pablo Varillas,6-4 6-4 6-2,R128,Hard,H
Australian Open,Hard,20240115,Giulio Zeppieri,Dusan Lajovic,6-3 3-6 6-3 7-6(3),R128,Hard,H
Australian Open,Hard,20240115,Max Purcell,Mate Valkusz,3-6 7-6(2) 6-4 7-5,R128,Hard,H
Australian Open,Hard,20240115,Casper Ruud,Albert Ramos,6-1 6-3 6-1,R128,Hard,H
Australian Open,Hard,20240115,Tommy Paul,Gregoire Barrere,6-2 6-3 6-3,R128,Hard,H
Australian Open,Hard,20240115,Jack Draper,Marcos Giron,6-4 3-6 4-6 6-0 6-2,R128,Hard,H
Australian Open,Hard,20240115,Miomir Kecmanovic,Yosuke Watanuki,4-6 7-5 6-3 6-4,R128,Hard,H
Australian Open,Hard,20240115,Jan Lennard Struff,Rinky Hijikata,3-6 6-3 6-2 6-7(2) 7-6(8),R128,Hard,H
Australian Open,Hard,20240115,Sumit Nagal,Alexander Bublik,6-4 6-2 7-6(5),R128,Hard,H
Australian Open,Hard,20240115,Juncheng Shang,Mackenzie Mcdonald,6-3 1-6 3-6 6-4 6-2,R128,Hard,H
Australian Open,Hard,20240115,Lorenzo Sonego,Daniel Evans,4-6 7-6(8) 6-2 7-6(4),R128,Hard,H
Australian Open,Hard,20240115,Carlos Alcaraz,Richard Gasquet,7-6(5) 6-1 6-2,R128,Hard,H
Australian Open,Hard,20240115,Novak Djokovic,Alexei Popyrin,6-3 4-6 7-6(4) 6-3,R64,Hard,H
Australian Open,Hard,20240115,Tomas Martin Etcheverry,Gael Monfils,6-4 6-4 6-4,R64,Hard,H
Australian Open,Hard,20240115,Adrian Mannarino,Jaume Munar,6-3 6-3 1-6 2-6 6-3,R64,Hard,H
Australian Open,Hard,20240115,Ben Shelton,Christopher Oconnell,6-4 6-1 3-6 7-6(5),R64,Hard,H
Australian Open,Hard,20240115,Taylor Fritz,Hugo Gaston,6-0 6-3 6-1,R64,Hard,H
Australian Open,Hard,20240115,Fabian Marozsan,Francisco Cerundolo,7-6(5) 6-4 6-2,R64,Hard,H
Australian Open,Hard,20240115,Luca Van Assche,Lorenzo Musetti,6-3 3-6 6-7(5) 6-3 6-0,R64,Hard,H
Australian Open,Hard,20240115,Stefanos Tsitsipas,Jordan Thompson,4-6 7-6(6) 6-2 7-6(4),R64,Hard,H
Australian Open,Hard,20240115,Jannik Sinner,Jesper De Jong,6-2 6-2 6-2,R64,Hard,H
Australian Open,Hard,20240115,Sebastian Baez,Daniel Elahi Galan,7-5 2-6 6-2 6-4,R64,Hard,H
Australian Open,Hard,20240115,Tomas Machac,Frances Tiafoe,6-4 6-4 7-6(5),R64,Hard,H
Australian Open,Hard,20240115,Karen Khachanov,Aleksandar Kovacevic,6-4 6-3 4-6 6-3,R64,Hard,H
Australian Open,Hard,20240115,Alex De Minaur,Matteo Arnaldi,6-3 6-0 6-3,R64,Hard,H
Australian Open,Hard,20240115,Flavio Cobolli,Pavel Kotov,7-5 6-3 5-7 6-2,R64,Hard,H
Australian Open,Hard,20240115,Sebastian Korda,Quentin Halys,6-4 6-4 6-4,R64,Hard,H
Australian Open,Hard,20240115,Andrey Rublev,Christopher Eubanks,6-4 6-4 6-4,R64,Hard,H
