Tournament,surface,Date,HomeTeam,AwayTeam,score,round,Surface,FTR
Australian Open,Hard,20240115,Abedallah Shelbayh,Hamad Medjedovic,6-7(2) 7-6(5) 6-2,Q2,Hard,H
Australian Open,Hard,20240115,Omar Jasika,Zachary Svajda,7-5 4-6 6-2,Q2,Hard,H
Australian Open,Hard,20240115,Lukas Klein,Denis Kudla,6-3 6-7(2) 6-4,Q2,Hard,H
Australian Open,Hard,20240115,Stefano Napolitano,Rudolf Molleker,1-6 6-4 6-2,Q2,Hard,H
Australian Open,Hard,20240115,Alexander Ritschard,Jules Marie,6-7(3) 6-3 6-2,Q2,Hard,H
Australian Open,Hard,20240115,Giulio Zeppieri,Damir Dzumhur,6-3 6-2,Q2,Hard,H
Australian Open,Hard,20240115,Dane Sweeny,Luca Nardi,7-6(2) 6-2,Q2,Hard,H
Australian Open,Hard,20240115,Zizou Bergs,Joris De Loore,7-6(2) 6-0,Q2,Hard,H
Australian Open,Hard,20240115,Alex Molcan,John Millman,6-4 6-3,Q2,Hard,H
Australian Open,Hard,20240115,Sumit Nagal,Edward Winter,6-3 6-2,Q2,Hard,H
Australian Open,Hard,20240115,Terence Atmane,Nerman Fatic,6-3 3-6 7-5,Q2,Hard,H
Australian Open,Hard,20240115,Emilio Nava,Mattia Bellucci,6-4 6-3,Q2,Hard,H
Australian Open,Hard,20240115,Andrea Vavassori,Kimmer Coppejans,6-1 6-3,Q2,Hard,H
Australian Open,Hard,20240115,Mate Valkusz,Francisco Comesana,2-6 6-4 6-2,Q2,Hard,H
Australian Open,Hard,20240115,Dino Prizmic,Aziz Dougaz,6-3 6-4,Q3,Hard,H
Australian Open,Hard,20240115,Flavio Cobolli,Santiago Fa Rodriguez Taverna,6-4 6-2,Q3,Hard,H
Australian Open,Hard,20240115,Hugo Grenier,Giovanni Mpetshi Perricard,5-7 6-4 7-6(4),Q3,Hard,H
Australian Open,Hard,20240115,Lloyd Harris,Hugo Gaston,6-0 6-2,Q3,Hard,H
Australian Open,Hard,20240115,Jesper De Jong,Camilo Ugo Carabelli,7-6(3) 3-6 7-6(7),Q3,Hard,H
Australian Open,Hard,20240115,Vit Kopriva,Oliver Crawford,6-4 6-4,Q3,Hard,H
Australian Open,Hard,20240115,Aleksandar Kovacevic,Shintaro Mochizuki,1-6 6-2 6-2,Q3,Hard,H
Australian Open,Hard,20240115,David Goffin,Gabriel Diallo,3-6 6-3 6-2,Q3,Hard,H
Australian Open,Hard,20240115,Jakub Mensik,Harold Mayot,6-3 7-6(2),Q3,Hard,H
Australian Open,Hard,20240115,Omar Jasika,Abedallah Shelbayh,2-6 6-1 6-2,Q3,Hard,H
Australian Open,Hard,20240115,Lukas Klein,Stefano Napolitano,7-6(2) 7-6(3),Q3,Hard,H
Australian Open,Hard,20240115,Giulio Zeppieri,Alexander Ritschard,6-3 6-3,Q3,Hard,H
Australian Open,Hard,20240115,Dane Sweeny,Zizou Bergs,5-7 7-5 2-0 RET,Q3,Hard,H
Australian Open,Hard,20240115,Sumit Nagal,Alex Molcan,6-4 6-4,Q3,Hard,H
Australian Open,Hard,20240115,Terence Atmane,Emilio Nava,7-6(5) 7-6(3),Q3,Hard,H
Australian Open,Hard,20240115,Mate Valkusz,Andrea Vavassori,6-1 6-4,Q3,Hard,H
Montpellier,Hard,20240129,Antoine Escoffier,Daniel Rincon,6-1 6-3,Q2,Hard,H
Montpellier,Hard,20240129,Pablo Llamas Ruiz,Calvin Hemery,6-2 6-3,Q2,Hard,H
Montpellier,Hard,20240129,Dalibor Svrcina,Giulio Zeppieri,3-6 6-3 7-5,Q2,Hard,H
Montpellier,Hard,20240129,Ugo Blanchet,Titouan Droguet,6-2 6-4,Q2,Hard,H
Montpellier,Hard,20240129,Daniel Rincon,Luca Nardi,6-3 6-4,Q1,Hard,H
Montpellier,Hard,20240129,Antoine Escoffier,Hugo Grenier,7-5 7-5,Q1,Hard,H
Montpellier,Hard,20240129,Calvin Hemery,Francesco Maestrelli,6-4 6-3,Q1,Hard,H
Montpellier,Hard,20240129,Pablo Llamas Ruiz,Matteo Gigante,6-3 6-2,Q1,Hard,H
Montpellier,Hard,20240129,Giulio Zeppieri,Oriol Roca Batalla,6-2 6-7(5) 6-1,Q1,Hard,H
Montpellier,Hard,20240129,Dalibor Svrcina,Matteo Martineau,6-2 3-6 7-5,Q1,Hard,H
Montpellier,Hard,20240129,Titouan Droguet,Clement Chidekh,7-6(5) 6-4,Q1,Hard,H
Montpellier,Hard,20240129,Ugo Blanchet,Jesper De Jong,6-3 6-2,Q1,Hard,H
Cordoba,Clay,20240205,Facundo Bagnis,Thiago Agustin Tirante,7-6(5) 6-3,Q2,Clay,H
Cordoba,Clay,20240205,Luciano Darderi,Andrea Collarini,6-3 7-6(3),Q2,Clay,H
Cordoba,Clay,20240205,Federico Agustin Gomez,Renzo Olivo,6-4 6-4,Q2,Clay,H
Cordoba,Clay,20240205,Roman Andres Burruchaga,Marco Cecchinato,6-3 6-0,Q2,Clay,H
Cordoba,Clay,20240205,Thiago Agustin Tirante,Alex Barrena,6-3 6-4,Q1,Clay,H
Cordoba,Clay,20240205,Facundo Bagnis,Santiago Fa Rodriguez Taverna,6-0 6-0,Q1,Clay,H
Cordoba,Clay,20240205,Luciano Darderi,Alessandro Giannessi,6-2 6-0,Q1,Clay,H
Cordoba,Clay,20240205,Andrea Collarini,Ivan Gakhov,7-6(5) 6-1,Q1,Clay,H
Cordoba,Clay,20240205,Federico Agustin Gomez,Corentin Moutet,2-6 6-3 7-6(1),Q1,Clay,H
Cordoba,Clay,20240205,Renzo Olivo,Genaro Alberto Olivieri,6-4 6-2,Q1,Clay,H
Cordoba,Clay,20240205,Roman Andres Burruchaga,Hernan Casanova,6-4 6-2,Q1,Clay,H
Cordoba,Clay,20240205,Marco Cecchinato,Nicolas Kicker,6-1 6-4,Q1,Clay,H
Dallas,Hard,20240205,Steve Johnson,Terence Atmane,6-3 6-7(4) 6-4,Q2,Hard,H
Dallas,Hard,20240205,Emilio Nava,Marco Trungelliti,6-3 4-6 6-4,Q2,Hard,H
Dallas,Hard,20240205,Nicolas Moreno De Alboran,Denis Kudla,6-4 6-7(4) 6-4,Q2,Hard,H
Dallas,Hard,20240205,Tennys Sandgren,Illya Marchenko,7-5 7-6(5),Q2,Hard,H
Dallas,Hard,20240205,Terence Atmane,Thai Son Kwiatkowski,4-6 7-6(2) 6-2,Q1,Hard,H
Dallas,Hard,20240205,Steve Johnson,Timo Stodder,6-4 6-2,Q1,Hard,H
Dallas,Hard,20240205,Emilio Nava,Aidan Mayo,6-3 6-4,Q1,Hard,H
Dallas,Hard,20240205,Marco Trungelliti,Juan Pablo Ficovich,7-6(4) 6-7(4) 6-4,Q1,Hard,H
Dallas,Hard,20240205,Nicolas Moreno De Alboran,Trevor Svajda,6-3 7-6(2),Q1,Hard,H
Dallas,Hard,20240205,Tennys Sandgren,Sho Shimabukuro,6-2 7-6(2),Q1,Hard,H
Dallas,Hard,20240205,Illya Marchenko,Brandon Holt,7-6(3) 6-7(4) 7-6(1),Q1,Hard,H
Marseille,Hard,20240205,Hugo Gaston,Pierre Hugues Herbert,3-6 6-2 6-3,Q2,Hard,H
Marseille,Hard,20240205,Hugo Grenier,Giulio Zeppieri,3-6 7-5 6-3,Q2,Hard,H
Marseille,Hard,20240205,Maxime Cressy,Martin Damm,6-4 6-4,Q2,Hard,H
Marseille,Hard,20240205,David Goffin,Lucas Pouille,7-5 6-3,Q2,Hard,H
Marseille,Hard,20240205,Hugo Gaston,Titouan Droguet,7-5 6-4,Q1,Hard,H
Marseille,Hard,20240205,Pierre Hugues Herbert,Matteo Gigante,7-6(5) 6-4,Q1,Hard,H
Marseille,Hard,20240205,Giulio Zeppieri,Nikolas Sanchez Izquierdo,7-5 6-2,Q1,Hard,H
Marseille,Hard,20240205,Hugo Grenier,Calvin Hemery,6-4 6-4,Q1,Hard,H
Marseille,Hard,20240205,Maxime Cressy,David Jorda Sanchis,6-4 6-4,Q1,Hard,H
Marseille,Hard,20240205,Martin Damm,Pablo Llamas Ruiz,6-3 7-6(4),Q1,Hard,H
Marseille,Hard,20240205,David Goffin,Alejandro Moro Canas,6-1 4-6 7-6(2),Q1,Hard,H
Marseille,Hard,20240205,Lucas Pouille,Harold Mayot,7-5 3-3 RET,Q1,Hard,H
Delray Beach,Hard,20240212,Nicolas Moreno De Alboran,Flavio Cobolli,5-7 6-2 6-3,Q2,Hard,H
Delray Beach,Hard,20240212,Thanasi Kokkinakis,Shintaro Mochizuki,6-3 6-0,Q2,Hard,H
Delray Beach,Hard,20240212,Radu Albot,Terence Atmane,7-5 6-4,Q2,Hard,H
Delray Beach,Hard,20240212,Zachary Svajda,Gabriel Diallo,6-4 4-6 6-3,Q2,Hard,H
Delray Beach,Hard,20240212,Flavio Cobolli,Illya Marchenko,6-4 6-2,Q1,Hard,H
Delray Beach,Hard,20240212,Nicolas Moreno De Alboran,Sho Shimabukuro,7-6(2) 6-7(4) 7-6(2),Q1,Hard,H
Delray Beach,Hard,20240212,Thanasi Kokkinakis,Brandon Holt,6-4 6-3,Q1,Hard,H
Delray Beach,Hard,20240212,Shintaro Mochizuki,Stefan Kozlov,6-3 7-6(2),Q1,Hard,H
Delray Beach,Hard,20240212,Radu Albot,August Holmgren,6-3 6-4,Q1,Hard,H
Delray Beach,Hard,20240212,Terence Atmane,Preston Brown,6-2 6-2,Q1,Hard,H
Delray Beach,Hard,20240212,Gabriel Diallo,Valentin Vacherot,6-4 6-4,Q1,Hard,H
Delray Beach,Hard,20240212,Zachary Svajda,Ethan Quinn,6-3 6-3,Q1,Hard,H
Buenos Aires,Clay,20240212,Camilo Ugo Carabelli,Hugo Dellien,4-6 7-6(3) 6-3,Q2,Clay,H
Buenos Aires,Clay,20240212,Daniel Elahi Galan,Francisco Comesana,6-3 5-7 6-2,Q2,Clay,H
Buenos Aires,Clay,20240212,Mariano Navone,Felipe Meligeni Alves,4-6 6-1 6-4,Q2,Clay,H
Buenos Aires,Clay,20240212,Andrea Vavassori,Thiago Monteiro,6-4 7-6(5),Q2,Clay,H
Buenos Aires,Clay,20240212,Camilo Ugo Carabelli,Jaume Munar,6-2 7-6(4),Q1,Clay,H
Buenos Aires,Clay,20240212,Hugo Dellien,Roman Andres Burruchaga,6-0 6-1,Q1,Clay,H
Buenos Aires,Clay,20240212,Daniel Elahi Galan,Alex Molcan,6-3 7-6(6),Q1,Clay,H
Buenos Aires,Clay,20240212,Francisco Comesana,Tomas Barrios Vera,6-3 6-4,Q1,Clay,H
Buenos Aires,Clay,20240212,Felipe Meligeni Alves,Albert Ramos,6-1 6-4,Q1,Clay,H
Buenos Aires,Clay,20240212,Mariano Navone,Corentin Moutet,5-7 6-2 6-2,Q1,Clay,H
Buenos Aires,Clay,20240212,Andrea Vavassori,Andrea Pellegrino,6-1 7-6(1),Q1,Clay,H
Buenos Aires,Clay,20240212,Thiago Monteiro,Juan Manuel Cerundolo,4-6 6-4 6-2,Q1,Clay,H
Rotterdam,Hard,20240212,David Goffin,Gijs Brouwer,7-6(8) 6-2,Q2,Hard,H
Rotterdam,Hard,20240212,Maxime Cressy,Pablo Llamas Ruiz,6-7(6) 6-4 6-4,Q2,Hard,H
Rotterdam,Hard,20240212,Denis Shapovalov,Hugo Gaston,6-4 6-0,Q2,Hard,H
Rotterdam,Hard,20240212,Zizou Bergs,Giulio Zeppieri,6-3 7-5,Q2,Hard,H
Rotterdam,Hard,20240212,Gijs Brouwer,Luca Van Assche,6-3 6-3,Q1,Hard,H
Rotterdam,Hard,20240212,David Goffin,Gregoire Barrere,6-4 6-2,Q1,Hard,H
Rotterdam,Hard,20240212,Pablo Llamas Ruiz,Guy Den Ouden,6-4 7-5,Q1,Hard,H
Rotterdam,Hard,20240212,Maxime Cressy,Arthur Rinderknech,6-3 3-6 6-3,Q1,Hard,H
Rotterdam,Hard,20240212,Hugo Gaston,Thijs Boogaard,6-3 6-3,Q1,Hard,H
Rotterdam,Hard,20240212,Denis Shapovalov,Maximilian Marterer,7-5 6-4,Q1,Hard,H
Rotterdam,Hard,20240212,Zizou Bergs,Jurij Rodionov,6-4 7-6(5),Q1,Hard,H
Rotterdam,Hard,20240212,Giulio Zeppieri,Roberto Bautista Agut,6-3 6-4,Q1,Hard,H
