Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2024-01-01,FLA,NSH,6,2,H,2,0,H
2024-01-01,NJD,MTL,5,3,H,2,0,H
2024-01-01,NYR,BUF,1,6,A,0,1,A
2024-01-01,CAR,PIT,5,1,H,2,0,H
2024-01-01,STL,UTA,2,4,A,1,1,D
2024-01-01,DAL,CHI,3,1,H,1,0,H
2024-01-01,WPG,COL,1,0,H,1,0,H
2024-01-01,LAK,VAN,2,4,A,1,1,D
2024-01-01,SJS,MIN,2,5,A,0,1,A
2024-01-01,TOR,DET,3,1,H,1,0,H
2024-01-01,WSH,PIT,2,4,A,1,2,A
2024-01-01,ANA,MIN,2,5,A,0,3,A
2024-01-01,SEA,VGK,4,3,H,1,2,A
2024-01-01,BUF,CGY,2,2,D,2,0,H
2024-01-01,FLA,PHI,3,3,D,0,1,A
2024-01-01,BOS,OTT,2,3,A,0,1,A
2024-01-01,TOR,MTL,4,1,H,1,0,H
2024-01-01,DET,NYR,0,4,A,0,1,A
2024-01-01,STL,WSH,1,8,A,1,1,D
2024-01-01,WPG,DAL,4,1,H,2,0,H
2024-01-01,NYI,NJD,3,4,A,1,0,H
2024-01-01,NSH,UTA,4,0,H,2,0,H
2024-01-01,COL,CAR,6,4,H,0,1,A
2024-01-01,LAK,CBJ,5,2,H,0,1,A
2024-01-01,VAN,EDM,3,7,A,0,1,A
2024-01-01,NJD,SJS,0,1,A,0,1,A
2024-01-01,CHI,MIN,2,1,H,1,0,H
2024-01-01,ANA,CBJ,4,2,H,1,1,D
2024-01-01,BUF,MTL,5,7,A,1,1,D
2024-01-01,PHI,SJS,3,3,D,2,0,H
2024-01-01,PIT,DAL,1,7,A,0,6,A
2024-01-01,CGY,LAK,3,1,H,0,0,D
2024-01-01,COL,NSH,3,2,H,0,1,A
2024-01-01,VGK,CAR,2,5,A,0,2,A
2024-01-01,TOR,OTT,0,3,A,0,1,A
2024-01-01,FLA,NJD,1,4,A,0,1,A
2024-01-01,NYR,WPG,3,6,A,1,1,D
