Date,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
09/04/2025 23:05,Tampa Bay Rays,Los Angeles Angels,5,4,H
09/04/2025 23:15,Atlanta Braves,Philadelphia Phillies,3,4,A
09/04/2025 23:40,Kansas City Royals,Minnesota Twins,0,4,A
10/04/2025 00:40,Colorado Rockies,Milwaukee Brewers,2,17,A
10/04/2025 17:10,Tampa Bay Rays,Los Angeles Angels,1,11,A
10/04/2025 17:10,Cleveland Guardians,Chicago White Sox,6,1,H
10/04/2025 18:10,Kansas City Royals,Minnesota Twins,3,2,H
10/04/2025 19:10,Colorado Rockies,Milwaukee Brewers,7,2,H
10/04/2025 20:10,Boston Red Sox,Toronto Blue Jays,4,3,H
10/04/2025 23:15,Atlanta Braves,Philadelphia Phillies,4,2,H
11/04/2025 22:10,Cleveland Guardians,Kansas City Royals,7,0,H
11/04/2025 22:40,Cincinnati Reds,Pittsburgh Pirates,5,3,H
11/04/2025 23:05,Tampa Bay Rays,Atlanta Braves,6,3,H
11/04/2025 23:05,New York Yankees,San Francisco Giants,1,9,A
11/04/2025 23:10,Miami Marlins,Washington Nationals,4,7,A
11/04/2025 23:40,Chicago White Sox,Boston Red Sox,11,1,H
12/04/2025 00:10,Houston Astros,Los Angeles Angels,14,3,H
12/04/2025 00:10,Minnesota Twins,Detroit Tigers,6,7,A
12/04/2025 00:15,St. Louis Cardinals,Philadelphia Phillies,2,0,H
12/04/2025 01:40,San Diego Padres,Colorado Rockies,8,0,H
12/04/2025 01:40,Seattle Mariners,Texas Rangers,5,3,H
12/04/2025 01:40,Arizona Diamondbacks,Milwaukee Brewers,0,7,A
12/04/2025 02:05,Athletics,New York Mets,6,7,A
12/04/2025 02:10,Los Angeles Dodgers,Chicago Cubs,3,0,H
12/04/2025 18:10,Minnesota Twins,Detroit Tigers,0,4,A
12/04/2025 18:15,St. Louis Cardinals,Philadelphia Phillies,1,4,A
12/04/2025 19:05,New York Yankees,San Francisco Giants,8,4,H
12/04/2025 20:05,Athletics,New York Mets,3,1,H
12/04/2025 20:05,Baltimore Orioles,Toronto Blue Jays,5,4,H
12/04/2025 20:10,Tampa Bay Rays,Atlanta Braves,4,5,A
12/04/2025 20:10,Chicago White Sox,Boston Red Sox,3,2,H
12/04/2025 20:10,Miami Marlins,Washington Nationals,7,6,H
12/04/2025 22:10,Cleveland Guardians,Kansas City Royals,6,3,H
12/04/2025 22:40,Cincinnati Reds,Pittsburgh Pirates,5,2,H
12/04/2025 23:10,Houston Astros,Los Angeles Angels,1,4,A
13/04/2025 00:10,Arizona Diamondbacks,Milwaukee Brewers,5,4,H
13/04/2025 00:40,San Diego Padres,Colorado Rockies,2,0,H
13/04/2025 01:10,Los Angeles Dodgers,Chicago Cubs,0,16,A
13/04/2025 01:40,Seattle Mariners,Texas Rangers,9,2,H
13/04/2025 17:35,Baltimore Orioles,Toronto Blue Jays,6,7,A
13/04/2025 17:35,New York Yankees,San Francisco Giants,4,5,A
13/04/2025 17:40,Cleveland Guardians,Kansas City Royals,2,4,A
13/04/2025 17:40,Cincinnati Reds,Pittsburgh Pirates,4,0,H
13/04/2025 17:40,Tampa Bay Rays,Atlanta Braves,8,3,H
