Season,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
2024,Virginia,Boston College,24,14,H
2024,Texas A&M,Missouri,41,10,H
2024,Penn State,UCLA,27,11,H
2024,Louisville,SMU,27,34,A
2024,Wisconsin,Purdue,52,6,H
2024,NC State,Wake Forest,30,34,A
2024,North Carolina,Pittsburgh,24,34,A
2024,UAB,Tulane,20,71,A
2024,Ball State,Western Michigan,42,45,A
2024,Northwestern,Indiana,24,41,A
2024,Charlotte,East Carolina,55,24,H
2024,Marshall,Appalachian State,52,37,H
2024,Georgia,Auburn,31,13,H
2024,Ohio State,Iowa,35,7,H
2024,South Carolina,Ole Miss,3,27,A
2024,Akron,Bowling Green,20,27,A
2024,Connecticut,Temple,29,20,H
2024,Stanford,Virginia Tech,7,31,A
2024,Toledo,Miami (OH),30,20,H
2024,Oklahoma State,West Virginia,14,38,A
2024,Nebraska,Rutgers,14,7,H
2024,Vanderbilt,Alabama,40,35,H
2024,Oregon State,Colorado State,39,31,H
2024,UL-Monroe,James Madison,21,19,H
2024,Southern Miss,UL-Lafayette,13,23,A
2024,Florida State,Clemson,13,29,A
2024,Boise State,Utah State,62,30,H
2024,Coastal Carolina,Old Dominion,45,37,H
2024,Arkansas State,South Alabama,18,16,H
2024,Minnesota,USC,24,17,H
2024,San Jose State,Nevada,35,31,H
2024,Arkansas,Tennessee,19,14,H
2024,Washington,Michigan,27,17,H
2024,Iowa State,Baylor,43,21,H
2024,Florida,UCF,24,13,H
2024,Georgia Tech,Duke,24,14,H
2024,Arizona State,Kansas,35,31,H
2024,San Diego State,Hawaii,27,24,H
2024,California,Miami (FL),38,39,A
2024,Arizona,Texas Tech,22,28,A
2024,Liberty,FIU,31,24,H
2024,Jacksonville State,New Mexico State,54,13,H
2024,James Madison,Coastal Carolina,39,7,H
2024,Western Kentucky,UTEP,44,17,H
2024,Louisiana Tech,Middle Tennessee,48,21,H
2024,Maryland,Northwestern,10,37,A
2024,Utah State,UNLV,34,50,A
2024,Arizona State,Utah,27,19,H
2024,Alabama,South Carolina,27,25,H
2024,Rutgers,Wisconsin,7,42,A
2024,Kent State,Ball State,35,37,A
2024,Massachusetts,Missouri,3,45,A
2024,North Carolina,Georgia Tech,34,41,A
2024,Buffalo,Toledo,30,15,H
2024,Iowa,Washington,40,16,H
2024,Wake Forest,Clemson,14,49,A
2024,Army,UAB,44,10,H
2024,Eastern Michigan,Miami (OH),14,38,A
2024,Oklahoma,Texas,3,34,A
2024,USC,Penn State,30,33,A
2024,Virginia,Louisville,20,24,A
2024,UCF,Cincinnati,13,19,A
2024,Illinois,Purdue,50,49,H
2024,Pittsburgh,California,17,15,H
2024,Bowling Green,Northern Illinois,7,17,A
2024,USF,Memphis,3,21,A
2024,Notre Dame,Stanford,49,7,H
2024,Wyoming,San Diego State,24,27,A
2024,Colorado State,San Jose State,31,24,H
2024,Western Michigan,Akron,34,24,H
2024,Georgia State,Old Dominion,14,21,A
2024,BYU,Arizona,41,19,H
2024,Central Michigan,Ohio,25,27,A
2024,Georgia,Mississippi State,41,31,H
2024,UL-Monroe,Southern Miss,38,21,H
2024,New Mexico,Air Force,52,37,H
2024,Tennessee,Florida,23,17,H
2024,Rice,UTSA,29,27,H
2024,Florida Atlantic,North Texas,37,41,A
2024,Fresno State,Washington State,17,25,A
2024,Texas State,Arkansas State,41,9,H
2024,Nevada,Oregon State,42,37,H
2024,Oregon,Ohio State,32,31,H
2024,LSU,Ole Miss,29,26,H
2024,UL-Lafayette,Appalachian State,34,24,H
2024,Kentucky,Vanderbilt,13,20,A
2024,Georgia Southern,Marshall,24,23,H
2024,NC State,Syracuse,17,24,A
